text,label
倡,1643
倡家,43
倡家少,1681
倡家少妇,667
倡家少妇不,927
倡家少妇不须,249
闻,1020
闻就,1798
闻就庞,784
闻就庞公,839
眷,764
眷言,902
眷言华,22
眷言华省,968
怡,1337
怡然,971
怡然敬,1078
怡然敬父,1477
击,219
击鼍,768
深,542
深山,798
深山大,1860
深山大泽,1747
深山大泽龙,498
深山大泽龙蛇,1276
何,843
何由,1829
何由满,975
何由满衣,1565
名,2012
名垂,1780
名垂万,2326
名垂万古,1423
名垂万古知,1569
名垂万古知何,1685
夜,1962
夜深,1611
夜深殿,1853
夜深殿突,1949
感,1425
感子,910
感子故,258
感子故意,593
窃,1895
窃比,2337
窃比稷,2248
窃比稷与,1188
至,2038
至竟,1394
至竟息,585
至竟息亡,2080
至竟息亡缘,1
至竟息亡缘底,919
晋,1686
晋阳,48
观,1536
观水,1958
观水百,250
观水百丈,1596
式,2063
式瞻,2148
式瞻北,1329
式瞻北邻,463
飘,977
飘零,1166
飘零君,667
飘零君不,1016
常,2072
常恨,844
常恨结,779
常恨结欢,2229
回,1967
回斡,242
回斡裂,664
回斡裂地,2013
即,919
即事,1956
即事非,271
即事非今,231
即事非今亦,1956
即事非今亦非,2326
枥,1574
枥嘶,1921
枥嘶支,792
枥嘶支遁,718
狙,666
狙犷,1287
万,365
万草,1882
万草千,2057
万草千花,45
万草千花动,1644
万草千花动凝,1345
刻,624
刻烛,1519
刻烛限,661
刻烛限诗,2208
自,105
自是,1166
自是君,2014
自是君身,1498
自是君身有,203
自是君身有仙,685
卓,1482
卓立,1965
卓立天,685
卓立天骨,126
卓立天骨森,911
卓立天骨森开,336
流,1108
流寓,157
流寓理,1939
流寓理岂,176
相,743
相许,752
相许宁,2300
相许宁论,1295
相许宁论两,1037
相许宁论两相,1314
降,286
降魁,67
小,1914
小斋,996
小斋松,1505
小斋松影,1528
小斋松影拂,1379
小斋松影拂云,1474
奉,2152
奉辞,1414
奉辞还,1005
奉辞还杖,481
抚,1320
抚迹,1595
抚迹犹,597
抚迹犹酸,2101
岁,1589
岁暮,1958
岁暮百,365
岁暮百草,977
未,1710
未逢,1024
未逢调,972
未逢调鼎,1685
鸣,2224
鸣笳,2323
鸣笳擂,768
鸣笳擂鼓,2177
鸣笳擂鼓拥,711
鸣笳擂鼓拥回,1647
深,784
深公,89
深公笑,1982
深公笑买,542
何,1855
何必,1304
何必东,1157
何必东南,1306
翠,1603
翠微,447
翠微z,1271
翠微zc,1915
翠微zc叶,2012
翠微zc叶垂,224
翠微zc叶垂鬓,1970
离,1182
离思,417
离思苦,1722
离思苦萦,2215
香,1028
香汗,1246
香汗轻,988
香汗轻尘,1636
香汗轻尘污,2313
香汗轻尘污颜,1625
世,1228
世复,1246
世复轻,49
世复轻骅,853
申,1346
申掌,765
俱,1034
俱为,1252
俱为五,2307
俱为五侯,383
墙,1435
墙头,107
墙头过,2133
墙头过浊,2254
我,1647
我军,1694
我军青,859
我军青坂,1699
我军青坂在,1304
我军青坂在东,1919
堂,2120
堂上,1679
堂上书,848
堂上书生,561
堂上书生空,323
堂上书生空白,1435
岂,105
岂是,1166
岂是君,1919
岂是君门,667
岂是君门不,798
岂是君门不大,911
游,1743
游鱼,2177
游鱼拥,1123
游鱼拥钓,998
何,2074
何人,630
何人教,1069
何人教我,559
何人教我吹,593
何人教我吹长,973
霄,741
霄汉,114
霄汉几,183
霄汉几多,958
霄汉几多同,2261
霄汉几多同学,274
未,1498
未有,2097
未有世,2074
未有世人,757
璧,805
璧房,2084
璧房锦,1611
璧房锦殿,1037
璧房锦殿相,785
璧房锦殿相玲,1336
坡,1483
坡陀,2006
坡陀金,2100
坡陀金虾,2083
犹,1243
犹挂,365
犹挂草,879
犹挂草堂,359
非,1634
非无,750
非无江,697
非无江海,1046
回,481
回策,1627
回策返,1875
回策返吾,1470
奔,798
奔大,671
包,668
包羞,898
包羞忍,1041
包羞忍耻,105
包羞忍耻是,1341
包羞忍耻是男,1198
以,2251
以兹,633
以兹悟,848
以兹悟生,157
谁,1423
谁知,1436
谁知文,2239
谁知文举,576
四,659
四座,1088
四座皆,1143
四座皆辟,1070
下,105
下是,664
彤,428
彤庭,297
彤庭所,1063
彤庭所分,1263
秋,998
秋来,1931
秋来未,18
秋来未曾,1016
秋来未曾见,323
秋来未曾见白,1845
来,1199
来时,1414
来时还,992
来时还下,777
来时还下杜,1896
来时还下杜陵,1634
反,763
反锁,2166
反锁衡,1919
反锁衡门,1306
反锁衡门守,917
反锁衡门守环,423
归,1498
归有,1567
暂,1528
暂拂,697
暂拂海,1453
暂拂海池,2246
推,1645
推摧,1449
推摧主,1886
推摧主母,947
推摧主母牵,992
推摧主母牵下,879
子,1379
子云,2123
子云识,505
子云识字,439
子云识字终,1059
子云识字终投,869
慎,2271
慎勿,955
慎勿出,321
慎勿出口,1976
慎勿出口他,2074
慎勿出口他人,55
幽,322
幽赏,1931
幽赏未,1379
幽赏未云,1691
除,703
除恶,740
除恶务,357
除恶务本,602
旁,1808
旁舍,766
旁舍颇,640
旁舍颇淳,504
千,2006
千金,2087
川,887
川原,918
川原纷,2256
川原纷眇,783
帝,2020
帝怒,992
帝怒下,380
将,1647
将军,48
将军武,76
将军武库,576
澒,506
澒洞,667
澒洞不,1208
澒洞不可,939
结,726
结翠,2208
结翠成,511
结翠成新,1672
飞,2150
飞翼,834
飞翼耸,1246
飞翼耸轻,720
文,515
文章,721
文章得,968
文章得旧,386
寒,750
寒江,1517
寒江浪,1140
寒江浪起,1882
寒江浪起千,590
寒江浪起千堆,72
何,1291
何如,532
何如石,797
何如石岩,2040
